stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Février;164.15;163.89;163.75;163.63
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Mars;164.13;163.88;163.75;163.64
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Avril;164.1;163.84;163.7;163.59
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Mai;164.08;163.81;163.68;163.56
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Juin;163.97;163.71;163.57;163.46
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Juillet;163.72;163.46;163.32;163.2
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Août;163.65;163.39;163.25;163.14
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Septembre;163.8;163.57;163.45;163.35
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Octobre;163.9;163.67;163.55;163.45
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Novembre;163.99;163.74;163.62;163.51
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH;BSS001XLVS;07944X0409/F;Décembre;164.04;163.79;163.66;163.55
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Janvier;140.85;140.56;140.42;140.3
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Février;140.82;140.52;140.36;140.23
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Mars;140.75;140.45;140.29;140.17
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Avril;140.7;140.44;140.3;140.19
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Mai;140.67;140.43;140.3;140.2
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Juin;140.58;140.35;140.23;140.14
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Juillet;140.28;140.04;139.91;139.81
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Août;140.11;139.85;139.71;139.6
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Septembre;140.26;140;139.87;139.76
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Octobre;140.5;140.18;140.01;139.87
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Novembre;140.72;140.31;140.1;139.93
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH;BSS001XMKQ;07948X0038/S;Décembre;140.83;140.47;140.28;140.12
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Janvier;138.1;137.31;136.9;136.56
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Février;138.07;137.29;136.88;136.55
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Mars;137.99;137.25;136.87;136.55
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Avril;137.93;137.26;136.91;136.62
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Mai;137.91;137.33;137.03;136.78
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Juin;137.93;137.37;137.08;136.83
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Juillet;137.84;137.32;137.05;136.83
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Août;137.72;137.26;137.02;136.82
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Septembre;137.64;137.23;137.02;136.85
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Octobre;137.64;137.18;136.94;136.74
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Novembre;137.73;137.1;136.76;136.49
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH;BSS001YZBF;08184X0084/PZ1;Décembre;137.98;137.17;136.75;136.41
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Janvier;268.53;267.37;266.77;266.27
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Février;268.87;267.98;267.52;267.14
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Mars;268.96;268.27;267.91;267.62
